airport_id,ident,name,city,tower_frequency,is_closed,num_runway_water,num_helipad,longest_runway_length,longest_runway_width,num_runways,rating,altitude,lonx,laty
66210,ZLIA,Liangshi Airport,Liangshi,None,0,0,0,9149,152,1,3,874,111.6701355,27.22646523
66211,ZGLG,Lingling Airport,Lengshuitan,None,0,0,0,8522,161,1,3,335,111.6099777,26.33885765
66215,ZGKL,Liangjiang,Guilin,118.000Mhz,0,0,0,10465,130,1,3,569,110.0394897,25.21991539
66216,ZGUL,Guilin Airport,Guilin,None,0,0,0,7833,149,1,3,489,110.3203888,25.19381142
66217,ZGZH,Liuzhou Bailian Airport,Labu,None,0,0,0,8310,142,1,3,300,109.3915863,24.20779991
66218,ZGUU,Guiping Mengshu Air Base,Guiping,None,0,0,0,9491,224,1,3,176,110.0093536,23.32995605
66219,ZGWZ,Wuzhou Changzhoudao Airport,Longxu,None,0,0,0,5892,142,1,3,87,111.2481003,23.45669556
66225,ZBXH,Xilinhot Airport,Xilin Hot,None,0,0,0,9179,144,1,3,3319,115.9603958,43.91197586
66226,ZSAA,Saihan Tal Airport,Saihan Tal,None,0,0,0,9188,161,1,3,3810,112.6482544,42.35113144
66227,ZSAI,Saihan Tal Airport,Saihan Tal,None,0,0,0,9186,159,1,3,3810,112.6482544,42.35112381
66231,ZBUC,Ulanqab Jining Airport,Jining,None,0,0,0,10455,138,1,3,4622,113.1065521,41.13024902
66232,ZZHC,Zhangbei Airport,Zhangbei,None,0,0,0,3659,161,1,3,4432,114.7166214,41.30279541
66233,ZWUL,Wuling Airport,Wuling,None,0,0,0,7878,154,1,3,3400,114.1637802,39.40578842
66234,ZZHA,Zhangjiakou Ningyuan Airport,Zhangjiakou,None,0,0,0,8182,143,1,3,2320,114.9314117,40.73948288
66235,ZCHL,Changling Airport,Changling,None,0,0,0,1666,107,1,3,340,116.2326584,40.28560257
66236,ZJII,Yongning Air Base,Jingzhuang,None,0,0,0,7502,149,1,3,1632,116.1076126,40.50276947
66237,ZKAA,Badaling or YanQing Airport,Kangzhuang,None,0,0,0,2583,107,1,3,1724,115.9373779,40.37924576
66238,ZLII,Liangxiangzhen Air Base,Liangxiang,None,0,0,0,6541,159,1,3,163,116.1249313,39.75772095
